school_name,slug,acceptance,city,state,grad_rate,desirability,influence,overall_rank,sat,act,student_body,undergrad_student_body,tuition,domain
"University of Saint Joseph",university-of-saint-joseph,0.78,"West Hartford",CT,0.56,458,5402,83599,,,2000,1000,40000,usj.edu
"Bramson ORT College",bramson-ort-college,,,,,,6392,83640,,,,,,
"Pearl River Community College",pearl-river-community-college,,Poplarville,MS,0.38,,6042,83681,,,4000,4000,4000,prcc.edu
"Madison Area Technical College",madison-area-technical-college,,Madison,WI,0.24,,6285,83722,,,9000,9000,4000,madisoncollege.edu
"Daymar College",daymar-college,,,,,,7131,83763,,,,,,
"College of Emporia",college-of-emporia,,,,,,2182,83804,,,,,,
"Community College of Philadelphia",community-college-of-philadelphia,,Philadelphia,PA,0.16,,5331,83845,,,13000,13000,9000,ccp.edu
"Piedmont University",piedmont-university,0.7,Demorest,GA,0.43,1284,5170,4507,1060,21,2000,1000,27000,piedmont.edu
"Ross Medical Education Center",ross-medical-education-center,,,,,,7622,83927,,,,,,
"Mercer County Community College",mercer-county-community-college,,"West Windsor",NJ,0.19,,7117,83968,,,5000,5000,6000,mccc.edu
"North Greenville University",north-greenville-university,0.65,Tigerville,SC,0.51,194,5498,84009,1055,23,2000,2000,21000,ngu.edu
"Cincinnati Christian University",cincinnati-christian-university,,Cincinnati,OH,,1449,5623,84050,,,1000,1000,18000,ccuniversity.edu
"Montgomery County Community College",montgomery-county-community-college,,"Blue Bell",PA,0.25,,6466,86142,,,6000,6000,10000,mc3.edu
"Walsh College",walsh-college,,Troy,MI,,,6721,86184,,,1000,1000,11000,walshcollege.edu
"Sterling College",sterling-college,0.96,"Craftsbury Common",VT,0.16,964,6771,3312,,,1000,0,39000,sterlingcollege.edu
"Gwinnett Technical College",gwinnett-technical-college,,Lawrenceville,GA,0.35,,6276,86268,,,6000,6000,3000,gwinnetttech.edu
"University of Maryland Center for Environmental Science",university-of-maryland-center-for-environmental-science,,,,,,6247,86310,,,,,,
"Christendom College",christendom-college,,,,,,4665,86352,,,,,,
"Maine College of Art",maine-college-of-art,0.7,Portland,ME,0.52,652,4790,86394,,,1000,0,36000,meca.edu
"Rio Salado College",rio-salado-college,,Tempe,AZ,0.04,,5883,86436,,,11000,11000,2000,rio.maricopa.edu
"Morrisville State College",morrisville-state-college,0.77,Morrisville,NY,0.38,724,6429,86478,965,19,3000,3000,9000,morrisville.edu
"Wake Technical Community College",wake-technical-community-college,,Raleigh,NC,0.28,,6163,86520,,,15000,15000,3000,waketech.edu
"Methodist University",methodist-university,0.76,Fayetteville,NC,0.39,464,5219,86562,1045,19,2000,2000,35000,methodist.edu
"Miami University Middletown",miami-university-middletown,,Middletown,OH,0.15,,5576,86604,,,1000,1000,7000,miamioh.edu
"Penn State Behrend",penn-state-behrend,,Erie,PA,,,6210,86646,,,4000,4000,15000,psu.edu
"West Virginia University at Parkersburg",west-virginia-university-at-parkersburg,,Parkersburg,WV,0.35,,5124,86688,,,2000,2000,4000,westliberty.edu
"New Hampshire Institute of Art",new-hampshire-institute-of-art,,Manchester,NH,,778,5036,86730,,,,,,nhia.edu
"New England School of Communications",new-england-school-of-communications,,,,,,7429,86772,,,,,,
"McKinley College",mckinley-college,,,,,,9550,86814,,,,,,
"Philippine Law School",philippine-law-school,,,,,,3558,86856,,,,,,
"Life University",life-university,0.97,Marietta,GA,0.29,1103,5598,86898,1014,20,1000,1000,13000,life.edu
"Utah State University Eastern",utah-state-university-eastern,,,,,,6441,86940,,,,,,
"Austin Community College District",austin-community-college-district,,Austin,TX,0.12,,5649,86982,,,24000,24000,11000,austincc.edu
"University of Wisconsin–Stout","university-of-wisconsin–stout",0.9,Menomonie,WI,0.6,1465,6067,87024,,,7000,7000,9000,uwstout.edu
"Abraham Baldwin Agricultural College",abraham-baldwin-agricultural-college,0.76,Tifton,GA,0.29,223,5913,87066,1025,19,3000,3000,4000,abac.edu
"North Dakota State College of Science",north-dakota-state-college-of-science,,Wahpeton,ND,0.48,,3627,87108,,,2000,2000,5000,ndscs.edu
"Gaston College",gaston-college,,Dallas,NC,0.33,,6316,87150,,,4000,4000,3000,gaston.edu
"Grace University",grace-university,,,,,,6898,87192,,,,,,
"John Paul II Institute",john-paul-ii-institute,,,,,,6243,87234,,,,,,
"Los Angeles Harbor College",los-angeles-harbor-college,,Wilmington,CA,0.26,,4995,87276,,,5000,5000,1000,lahc.edu
"Pfeiffer University",pfeiffer-university,0.76,Misenheimer,NC,0.43,715,4256,87318,1027,19,1000,1000,31000,pfeiffer.edu
"Golden West College",golden-west-college,,"Huntington Beach",CA,0.41,,6594,87360,,,7000,7000,1000,goldenwestcollege.edu
"Ponce Health Sciences University",ponce-health-sciences-university,,Ponce,PR,,,5933,87402,,,1000,0,11000,psm.edu
"Dakota County Technical College",dakota-county-technical-college,,Rosemount,MN,0.47,,8369,87444,,,2000,2000,6000,dctc.edu
"Polk State College",polk-state-college,,"Winter Haven",FL,0.32,,5732,87486,,,8000,8000,3000,polk.edu
"Boston Graduate School of Psychoanalysis",boston-graduate-school-of-psychoanalysis,,Brookline,MA,,,6090,87528,,,1000,,,bgsp.edu
"South Texas College of Law Houston",south-texas-college-of-law-houston,,Houston,TX,,,5267,87570,,,,,,stcl.edu
"West Virginia University Institute of Technology",west-virginia-university-institute-of-technology,0.55,Beckley,WV,0.28,1159,5474,87612,1030,21,1000,1000,8000,wvutech.edu
"Washington Theological Union",washington-theological-union,,,,,,6041,87654,,,,,,
"People's College of Law","people's-college-of-law",,,,,,7209,87696,,,,,,
"Santa Clara University College of Arts & Sciences",santa-clara-university-college-of-arts-&-sciences,,,,,,6607,87738,,,,,,
"Holy Cross College",holy-cross-college,0.77,"Notre Dame",IN,0.55,360,6114,87780,1220,29,1000,0,32000,hcc-nd.edu
"Oakland Community College",oakland-community-college,,"Bloomfield Hills",MI,0.15,,6190,87822,,,10000,10000,5000,oaklandcc.edu
"Galveston College",galveston-college,,Galveston,TX,0.25,,4690,87864,,,2000,2000,3000,gc.edu
"Arapahoe Community College",arapahoe-community-college,,Littleton,CO,0.26,,6534,87906,,,5000,5000,4000,arapahoe.edu
"Middle Georgia College",middle-georgia-college,,,,,,6422,87948,,,,,,
"Solano Community College",solano-community-college,,Fairfield,CA,0.26,,6385,87990,,,6000,6000,1000,solano.edu
"Pikes Peak Community College",pikes-peak-community-college,,"Colorado Springs",CO,0.17,,7968,88032,,,9000,9000,4000,ppcc.edu
"Fresno Pacific University",fresno-pacific-university,0.67,Fresno,CA,0.67,1463,5863,88074,1040,20,4000,3000,33000,fresno.edu
"Palo Alto College",palo-alto-college,,"San Antonio",TX,0.29,,6016,88116,,,5000,5000,7000,alamo.edu
"San Francisco Law School",san-francisco-law-school,,,,,,3159,88158,,,,,,
"Doane University",doane-university,0.69,Crete,NE,0.6,362,5164,88200,,,2000,1000,35000,doane.edu
"Central Penn College",central-penn-college,0.83,Summerdale,PA,0.47,861,6215,90343,,,1000,1000,19000,centralpenn.edu
"Spokane Falls Community College",spokane-falls-community-college,,Spokane,WA,0.26,,6162,90386,,,4000,4000,4000,spokanefalls.edu
"Middlebury College Language Schools",middlebury-college-language-schools,,,,,,6502,90429,,,,,,
"Triton College",triton-college,,"River Grove",IL,0.22,,2739,90472,,,7000,7000,10000,triton.edu
"Bryn Athyn College",bryn-athyn-college,0.78,"Bryn Athyn",PA,0.34,203,5503,90515,1025,18,1000,0,24000,brynathyn.edu
"Trinity Valley Community College",trinity-valley-community-college,,Athens,TX,0.24,,5454,90558,,,4000,4000,5000,tvcc.edu
"Atlanta's John Marshall Law School","atlanta's-john-marshall-law-school",,Atlanta,GA,,,7794,90601,,,,,,johnmarshall.edu
"Odessa College",odessa-college,,Odessa,TX,0.25,,4968,90644,,,4000,4000,3000,odessa.edu
"Dana College",dana-college,,,,,,5543,90687,,,,,,dana.edu
"Lewis and Clark Community College",lewis-and-clark-community-college,,Godfrey,IL,0.51,,5434,90730,,,3000,3000,10000,lc.edu
"Felician University",felician-university,0.94,Lodi,NJ,0.54,280,7520,90773,990,17,2000,2000,35000,felician.edu
"South Texas College",south-texas-college,,McAllen,TX,0.24,,5068,90816,,,22000,22000,4000,southtexascollege.edu
"West Coast Baptist College",west-coast-baptist-college,,,,,,6673,90859,,,,,,
"Southwestern Christian College",southwestern-christian-college,,Terrell,TX,0.06,,4461,90902,,,1000,0,8000,
"Brite Divinity School",brite-divinity-school,,"Fort Worth",TX,,,6260,90945,,,1000,,,brite.edu
"Peru State College",peru-state-college,,Peru,NE,0.36,,4047,90988,,,2000,1000,8000,peru.edu
"Valor Christian College",valor-christian-college,,,,,,7815,91031,,,,,,
"Missouri Valley College",missouri-valley-college,0.62,Marshall,MO,0.23,1330,5140,91074,965,18,1000,1000,21000,moval.edu
"Santa Fe Community College",santa-fe-community-college,,"Santa Fe",NM,0.25,,7971,91117,,,2000,2000,2000,sfcc.edu
"Barstow Community College",barstow-community-college,,Barstow,CA,0.35,,7210,91160,,,2000,2000,1000,barstow.edu
"Edgecliff College",edgecliff-college,,,,,,5076,91203,,,,,,
"California State University Channel Islands",california-state-university-channel-islands,0.79,Camarillo,CA,0.55,830,6166,91246,,,7000,6000,7000,csuci.edu
"Wharton County Junior College",wharton-county-junior-college,,Wharton,TX,0.18,,4777,91289,,,5000,5000,4000,wcjc.edu
"Unification Theological Seminary",unification-theological-seminary,,"New York",NY,,,4408,91332,,,1000,,,uts.edu
"Tidewater Community College",tidewater-community-college,,Norfolk,VA,0.25,,7303,91375,,,14000,14000,6000,tcc.edu
"Wayne State College",wayne-state-college,,Wayne,NE,0.53,,4969,91418,,,3000,3000,7000,wsc.edu
"Tompkins Cortland Community College",tompkins-cortland-community-college,,Dryden,NY,0.22,,5927,91461,,,3000,3000,6000,tc3.edu
"University of Florida College of Agricultural and Life Sciences",university-of-florida-college-of-agricultural-and-life-sciences,,,,,,7194,91504,,,,,,
"American Baptist College",american-baptist-college,,Nashville,TN,0.64,,5476,91547,,,1000,0,12000,abcnash.edu
"Palmer College of Chiropractic",palmer-college-of-chiropractic,,Davenport,IA,,,4733,91590,,,1000,0,11000,palmer.edu
"Owens Community College",owens-community-college,,Perrysburg,OH,0.2,,7561,91633,,,6000,6000,5000,owens.edu
"Illinois Central College",illinois-central-college,,"East Peoria",IL,0.39,,5961,91676,,,5000,5000,9000,icc.edu
"Art Academy of Cincinnati",art-academy-of-cincinnati,0.31,Cincinnati,OH,0.48,210,4280,91719,975,18,1000,0,34000,artacademy.edu
"Penn State Abington",penn-state-abington,,Abington,PA,,644,5291,91762,,,4000,4000,15000,psu.edu
"Hostos Community College",hostos-community-college,,Bronx,NY,0.23,,6264,91805,,,5000,5000,5000,cuny.edu
"Penn State Great Valley School of Graduate Professional Studies",penn-state-great-valley-school-of-graduate-professional-studies,,Malvern,PA,,,5194,91848,,,1000,,,psu.edu
"Bristol Community College",bristol-community-college,,"Fall River",MA,0.19,,6296,91891,,,5000,5000,5000,bristolcc.edu
"Washtenaw Community College",washtenaw-community-college,,"Ann Arbor",MI,0.27,,5478,91934,,,8000,8000,4000,wccnet.edu
"National Labor College",national-labor-college,,,,,,6776,91977,,,,,,
"Specs Howard School of Media Arts",specs-howard-school-of-media-arts,,Southfield,MI,,,6049,92020,,,1000,1000,,specshoward.edu
"Mount Mercy University",mount-mercy-university,0.76,"Cedar Rapids",IA,0.57,1367,5299,92063,,,2000,1000,34000,mtmercy.edu
