school_name,slug,acceptance,city,state,grad_rate,desirability,influence,overall_rank,sat,act,student_body,undergrad_student_body,tuition,domain
"University of Connecticut School of Dental Medicine",university-of-connecticut-school-of-dental-medicine,,,,,,3912,25852,,,,,,
"University of Guam",university-of-guam,,Mangilao,GU,0.38,,2927,25875,,,3000,3000,6000,uog.edu
"Sacred Heart Major Seminary",sacred-heart-major-seminary,1.0,Detroit,MI,1.0,743,2856,25898,,,1000,0,20000,shms.edu
"Elizabeth City State University",elizabeth-city-state-university,0.75,"Elizabeth City",NC,0.43,1017,1625,25921,962,18,2000,2000,3000,ecsu.edu
"Hebrew Union College-Jewish Institute of Religion",hebrew-union-college-jewish-institute-of-religion,,"New York",NY,,,2193,25944,,,1000,,,huc.edu
"University of Saint Mary of the Lake",university-of-saint-mary-of-the-lake,,Mundelein,IL,,,2519,25967,,,1000,,,usml.edu
"Yale School of Engineering & Applied Science",yale-school-of-engineering-&-applied-science,,,,,,760,25990,,,,,,
"Hebrew College",hebrew-college,,"Newton Centre",MA,,,2942,26013,,,1000,0,29000,hebrewcollege.edu
"Bellevue University",bellevue-university,,Bellevue,NE,0.23,,3476,26036,,,7000,5000,8000,bellevue.edu
"Anderson University",anderson-university,0.67,Anderson,IN,0.64,736,2917,1469,1080,22,2000,1000,31000,anderson.edu
"Marlboro College",marlboro-college,0.83,Marlboro,VT,0.52,934,3530,26082,,,1000,0,27000,marlboro.edu
"Dalton State College",dalton-state-college,,Dalton,GA,0.29,,3897,26105,,,4000,4000,4000,daltonstate.edu
"Iowa Wesleyan University",iowa-wesleyan-university,0.71,"Mount Pleasant",IA,0.3,1003,2224,26128,990,21,1000,1000,25000,iw.edu
"Community College of Denver",community-college-of-denver,,Denver,CO,0.18,,3036,26151,,,5000,5000,5000,ccd.edu
"LaGuardia Community College",laguardia-community-college,,"Long Island City",NY,0.32,,3438,26174,,,12000,12000,5000,laguardia.edu
"St. Mary's Seminary and University","st.-mary's-seminary-and-university",,,,,,2356,26197,,,,,,
"Columbia International University",columbia-international-university,0.51,Columbia,SC,0.68,95,3686,26220,1035,21,1000,1000,24000,ciu.edu
"University of Minnesota Crookston",university-of-minnesota-crookston,0.72,Crookston,MN,0.51,636,3504,26243,,,2000,2000,12000,umn.edu
"Phoenix College",phoenix-college,,Phoenix,AZ,0.15,,3070,26266,,,6000,6000,2000,phoenixcollege.edu
"Cleveland Institute of Art",cleveland-institute-of-art,0.67,Cleveland,OH,0.64,1374,2067,26289,1110,23,1000,1000,43000,cia.edu
"Pittsburgh Theological Seminary",pittsburgh-theological-seminary,,Pittsburgh,PA,,,2011,26312,,,1000,,,pts.edu
"Columbia Pacific University",columbia-pacific-university,,,,,,3035,26335,,,,,,
"Capital University Law School",capital-university-law-school,,,,,,3644,26358,,,,,,
"New York Theological Seminary",new-york-theological-seminary,,"New York",NY,,,3118,26381,,,1000,,,nyts.edu
"Central Methodist University",central-methodist-university,0.95,Fayette,MO,0.44,992,2915,26404,1015,22,1000,1000,25000,centralmethodist.edu
"Alabama A&M University",alabama-a&m-university,0.9,Normal,AL,0.29,546,2559,26427,925,17,6000,5000,10000,aamu.edu
"North Park University",north-park-university,0.44,Chicago,IL,0.59,735,2589,26450,1075,22,2000,2000,31000,northpark.edu
"William Carey University",william-carey-university,0.55,Hattiesburg,MS,0.53,211,2931,27624,1065,24,4000,2000,13000,wmcarey.edu
"University of Texas–Pan American","university-of-texas–pan-american",0.82,Edinburg,TX,0.47,,3748,27648,1040,19,26000,23000,8000,utrgv.edu
"Seminole State College of Florida",seminole-state-college-of-florida,,Sanford,FL,0.47,,3792,27672,,,12000,12000,3000,seminolestate.edu
"University of Missouri School of Law",university-of-missouri-school-of-law,,,,,,2806,27696,,,,,,
"Northcentral University",northcentral-university,,"La Jolla",CA,,,4213,27720,,,7000,0,12000,ncu.edu
"Blinn College",blinn-college,,Brenham,TX,0.09,,2862,27744,,,16000,16000,4000,blinn.edu
"Western New Mexico University",western-new-mexico-university,,"Silver City",NM,0.28,,3732,27768,,,2000,2000,6000,wnmu.edu
"St. Thomas Aquinas College",st.-thomas-aquinas-college,0.87,Sparkill,NY,0.61,304,3584,27792,1025,20,1000,1000,33000,stac.edu
"Everest University",everest-university,,,,,,3825,27816,,,,,,
"Franklin University",franklin-university,,Columbus,OH,0.42,,3248,27840,,,4000,3000,10000,franklin.edu
"Macomb Community College",macomb-community-college,,Warren,MI,0.12,,3470,27864,,,13000,13000,6000,macomb.edu
"Carroll University",carroll-university,0.72,Waukesha,WI,0.7,1072,2834,27888,1135,23,3000,3000,33000,carrollu.edu
"Concordia Seminary",concordia-seminary,,"Saint Louis",MO,,,2029,27912,,,1000,,,csl.edu
"College of Idaho",college-of-idaho,0.48,Caldwell,ID,0.66,862,2896,27936,,,1000,1000,32000,collegeofidaho.edu
"University of North Georgia",university-of-north-georgia,,,,,,2934,27960,,,,,,ung.edu
"Oakwood University",oakwood-university,0.89,Huntsville,AL,0.5,960,2752,27984,980,19,2000,1000,20000,oakwood.edu
"Tiffin University",tiffin-university,0.62,Tiffin,OH,0.41,499,2246,28008,,,3000,2000,26000,tiffin.edu
"Nicholls State University",nicholls-state-university,0.93,Thibodaux,LA,0.45,1409,2853,28032,1086,22,6000,5000,8000,nicholls.edu
"Tallahassee Community College",tallahassee-community-college,,Tallahassee,FL,0.39,,3100,28056,,,9000,9000,2000,tcc.fl.edu
"Reformed Theological Seminary",reformed-theological-seminary,,,,,,2600,28080,,,,,,
"University of Pittsburgh at Johnstown",university-of-pittsburgh-at-johnstown,0.87,Johnstown,PA,0.55,818,3145,28104,1120,21,3000,3000,14000,upj.pitt.edu
"Madonna University",madonna-university,0.68,Livonia,MI,0.58,1209,3591,28128,1030,21,2000,2000,23000,madonna.edu
"University of Southern Indiana",university-of-southern-indiana,0.94,Evansville,IN,0.53,1004,3001,28152,1075,22,8000,7000,9000,usi.edu
"American Public University System",american-public-university-system,,"Charles Town",WV,0.48,,3694,28176,,,33000,28000,7000,apus.edu
"Colorado State University–Pueblo","colorado-state-university–pueblo",0.94,Pueblo,CO,0.37,985,4020,28200,1035,21,6000,3000,8000,csupueblo.edu
"Park University",park-university,,Parkville,MO,0.28,640,2146,28224,,,8000,7000,8000,park.edu
"Moravian College",moravian-college,0.8,Bethlehem,PA,0.69,728,2386,28248,,,3000,2000,45000,moravian.edu
"Reconstructionist Rabbinical College",reconstructionist-rabbinical-college,,Wyncote,PA,,,2733,28272,,,1000,,,rrc.edu
"University of Western States",university-of-western-states,,Portland,OR,,,3596,28296,,,1000,0,,uws.edu
"Art Institute of Pittsburgh",art-institute-of-pittsburgh,,,,,,4650,28320,,,,,,
"Stevenson University",stevenson-university,0.89,Stevenson,MD,0.62,758,3860,28344,1100,21,3000,3000,37000,stevenson.edu
"Saint Francis University",saint-francis-university,0.59,Loretto,PA,0.63,1108,1869,28368,1140,23,2000,2000,38000,francis.edu
"CUNY School of Law",cuny-school-of-law,,"Long Island City",NY,,,4290,28392,,,,,,cuny.edu
"Kentucky State University",kentucky-state-university,0.84,Frankfort,KY,0.3,703,2186,28416,975,20,1000,1000,8000,kysu.edu
"Beth Medrash Govoha",beth-medrash-govoha,,Lakewood,NJ,,,2571,28440,,,7000,3000,22000,
"Center for Urban Science and Progress",center-for-urban-science-and-progress,,,,,,3961,28464,,,,,,
"Metropolitan College of New York",metropolitan-college-of-new-york,0.4,"New York",NY,0.29,355,3535,28488,,,1000,1000,20000,mcny.edu
"Belhaven University",belhaven-university,0.5,Jackson,MS,0.47,810,3453,28512,,,3000,2000,26000,belhaven.edu
"Sofia University",sofia-university,,"Palo Alto",CA,,,2208,28536,,,1000,0,,sofia.edu
"Westminster College",westminster-college,0.77,"New Wilmington",PA,0.71,350,2462,1695,1077,22,1000,1000,37000,westminster-mo.edu
"San Antonio College",san-antonio-college,,"San Antonio",TX,0.22,,2982,28584,,,10000,10000,7000,alamo.edu
"Chaminade University of Honolulu",chaminade-university-of-honolulu,0.89,Honolulu,HI,0.59,872,3233,28608,1065,21,2000,2000,26000,chaminade.edu
"Eureka College",eureka-college,0.61,Eureka,IL,0.6,980,2564,28632,1040,20,1000,1000,28000,eureka.edu
"Mississippi Valley State University",mississippi-valley-state-university,0.83,"Itta Bena",MS,0.27,623,3398,28656,,,2000,2000,7000,mvsu.edu
"Westwood College",westwood-college,,,,,,4042,28680,,,,,,
"Pace University School of Law",pace-university-school-of-law,,,,,,3582,28704,,,,,,
"Wesleyan College",wesleyan-college,0.6,Macon,GA,0.51,173,1879,28728,1030,19,1000,1000,24000,wesleyancollege.edu
"Community College of Allegheny County",community-college-of-allegheny-county,,Pittsburgh,PA,0.16,,3429,28752,,,11000,11000,8000,ccac.edu
"Southern University at New Orleans",southern-university-at-new-orleans,0.72,"New Orleans",LA,0.19,82,3086,28776,,,2000,2000,7000,suno.edu
"University of the Sciences",university-of-the-sciences,0.71,Philadelphia,PA,0.81,474,2316,28800,1215,25,2000,1000,29000,usciences.edu
"Salve Regina University",salve-regina-university,0.75,Newport,RI,0.76,358,2141,30025,,,2000,2000,41000,salve.edu
"New Mexico Highlands University",new-mexico-highlands-university,,"Las Vegas",NM,0.29,,2428,30050,,,3000,2000,6000,nmhu.edu
"Post University",post-university,0.97,Waterbury,CT,0.25,1106,3765,30075,,,7000,6000,15000,post.edu
"Curtis Institute of Music",curtis-institute-of-music,0.02,Philadelphia,PA,0.85,46,2396,30100,,,1000,0,3000,curtis.edu
"ICDC College",icdc-college,,,,,,5054,30125,,,,,,
"Oklahoma Baptist University",oklahoma-baptist-university,0.58,Shawnee,OK,0.55,585,2814,30150,1105,23,2000,2000,30000,okbu.edu
"Penn State Harrisburg",penn-state-harrisburg,,Middletown,PA,,647,4227,30175,,,5000,4000,15000,psu.edu
"Nazarene Theological Seminary",nazarene-theological-seminary,,"Kansas City",MO,,,3137,30200,,,1000,,,nts.edu
"Northern Virginia Community College",northern-virginia-community-college,,Annandale,VA,0.29,,3517,30225,,,32000,32000,6000,nvcc.edu
"Arkansas Tech University",arkansas-tech-university,0.98,Russellville,AR,0.44,1227,3339,30250,,,9000,8000,8000,atu.edu
"Endicott College",endicott-college,0.7,Beverly,MA,0.79,910,3374,30275,,,5000,3000,34000,endicott.edu
"Whitworth University",whitworth-university,0.91,Spokane,WA,0.77,437,3316,30300,1170,25,3000,2000,45000,whitworth.edu
"Drury University",drury-university,0.71,Springfield,MO,0.6,1457,3312,30325,1135,25,2000,1000,30000,drury.edu
"Santa Rosa Junior College",santa-rosa-junior-college,,"Santa Rosa",CA,0.37,,3405,30350,,,11000,11000,1000,santarosa.edu
"City University of Seattle",city-university-of-seattle,,Seattle,WA,,,2788,30375,,,2000,1000,13000,cityu.edu
"Heald College",heald-college,,,,,,3805,30400,,,,,,
"Los Angeles Pierce College",los-angeles-pierce-college,,"Woodland Hills",CA,0.31,,3370,30425,,,12000,12000,1000,piercecollege.edu
"Yeshivas Ner Yisroel",yeshivas-ner-yisroel,0.81,Baltimore,MD,0.5,,2780,30450,,,1000,0,13000,nirc.edu
"Warren National University",warren-national-university,,,,,,5258,30475,,,,,,
"Becker College",becker-college,0.83,Worcester,MA,0.5,603,3254,30500,1060,20,2000,2000,40000,becker.edu
"Brenau University",brenau-university,0.92,Gainesville,GA,0.41,489,3649,30525,1030,20,2000,1000,31000,brenau.edu
"Juniata College",juniata-college,0.67,Huntingdon,PA,0.74,614,2357,30550,,,1000,1000,47000,juniata.edu
"University of Charleston",university-of-charleston,0.61,Charleston,WV,0.46,1107,2970,30575,1041,21,2000,2000,23000,uchaswv.edu
"Saddleback College",saddleback-college,,"Mission Viejo",CA,0.44,,3534,30600,,,12000,12000,1000,saddleback.edu
"Berkeley College",berkeley-college,,"Woodland Park",NJ,0.48,,4378,30625,,,3000,3000,25000,berkeleycollege.edu
"Plymouth State University",plymouth-state-university,0.89,Plymouth,NH,0.58,327,3251,30650,,,5000,4000,14000,plymouth.edu
"Air University",air-university,,,,,,2541,30675,,,,,,
"Westminster Seminary California",westminster-seminary-california,,Escondido,CA,,,3366,30700,,,1000,,,
"University of New Hampshire at Manchester",university-of-new-hampshire-at-manchester,0.85,Manchester,NH,0.58,387,3689,30725,,,1000,1000,16000,unh.edu
"University of Houston–Clear Lake","university-of-houston–clear-lake",0.81,Houston,TX,0.52,1340,2863,30750,1105,21,7000,5000,7000,uhcl.edu
"Edinboro University of Pennsylvania",edinboro-university-of-pennsylvania,0.85,Edinboro,PA,0.43,,2893,30775,1065,20,4000,3000,11000,edinboro.edu
"Muskingum University",muskingum-university,0.8,"New Concord",OH,0.56,655,2702,30800,1005,20,2000,1000,29000,muskingum.edu
"Baldwin Wallace University",baldwin-wallace-university,0.7,Berea,OH,0.7,1042,2173,30825,1146,24,4000,3000,34000,bw.edu
"Toyota Technological Institute at Chicago",toyota-technological-institute-at-chicago,,Chicago,IL,,,3884,30850,,,1000,,,ttic.edu
"Long Beach City College",long-beach-city-college,,"Long Beach",CA,0.21,,2961,30875,,,16000,16000,2000,lbcc.edu
"Southern Arkansas University",southern-arkansas-university,0.69,Magnolia,AR,0.43,1310,3223,30900,1067,21,4000,3000,9000,saumag.edu
"University of Indianapolis",university-of-indianapolis,0.84,Indianapolis,IN,0.61,473,3182,30925,1085,22,5000,5000,31000,uindy.edu
"University of the Cumberlands",university-of-the-cumberlands,0.81,Williamsburg,KY,0.4,580,3685,30950,1035,21,11000,3000,10000,ucumberlands.edu
"Mercyhurst University",mercyhurst-university,0.88,Erie,PA,0.71,1114,3373,30975,,,3000,2000,40000,mercyhurst.edu
"Woodstock College",woodstock-college,,,,,,2326,31000,,,,,,
"McGovern Medical School",mcgovern-medical-school,,,,,,4131,31025,,,,,,
"Asbury University",asbury-university,0.75,Wilmore,KY,0.64,1272,2114,31050,1190,24,2000,1000,31000,asbury.edu
"Midway University",midway-university,0.73,Midway,KY,0.51,933,3774,31075,1045,21,1000,1000,25000,midway.edu
"Antelope Valley College",antelope-valley-college,,Lancaster,CA,0.27,,3635,31100,,,9000,9000,1000,avc.edu
"Kendall College",kendall-college,,,,,,3812,31125,,,,,,
"Lewis University",lewis-university,0.66,Romeoville,IL,0.7,784,3525,31150,1105,24,6000,4000,33000,lewisu.edu
"Interamerican University of Puerto Rico",interamerican-university-of-puerto-rico,,,,,,2304,31175,,,,,,
"Delaware Valley University",delaware-valley-university,0.92,Doylestown,PA,0.55,967,3176,31200,1070,22,2000,2000,41000,delval.edu
"The Judge Advocate General's Legal Center and School","the-judge-advocate-general's-legal-center-and-school",,,,,,2865,31225,,,,,,
"Christian Brothers University",christian-brothers-university,0.5,Memphis,TN,0.57,1298,2966,31250,,,2000,2000,34000,cbu.edu
"Lehigh Valley College",lehigh-valley-college,,,,,,4830,32526,,,,,,
"Carthage College",carthage-college,0.77,Kenosha,WI,0.62,390,2777,32552,1110,24,3000,3000,45000,carthage.edu
"Erskine College",erskine-college,0.6,"Due West",SC,0.52,1295,1966,32578,1025,19,1000,1000,37000,erskine.edu
"Elmira College",elmira-college,0.83,Elmira,NY,0.68,916,1910,32604,1120,23,1000,1000,35000,elmira.edu
"Asbury Theological Seminary",asbury-theological-seminary,,Wilmore,KY,,,2686,32630,,,1000,,,asburyseminary.edu
"Miles College",miles-college,,Fairfield,AL,0.24,,3117,32656,,,2000,2000,12000,miles.edu
"Nassau Community College",nassau-community-college,,"Garden City",NY,0.22,,2678,32682,,,12000,12000,6000,ncc.edu
"Oregon Institute of Technology",oregon-institute-of-technology,0.95,"Klamath Falls",OR,0.51,1368,3780,32708,1100,23,3000,3000,10000,oit.edu
"Ouachita Baptist University",ouachita-baptist-university,0.62,Arkadelphia,AR,0.6,1342,3367,32734,1155,24,2000,2000,28000,obu.edu
"University of South Florida St. Petersburg",university-of-south-florida-st.-petersburg,0.27,"St. Petersburg",FL,0.36,774,3511,32760,1207,26,4000,4000,6000,usfsp.edu
"Minneapolis College of Art and Design",minneapolis-college-of-art-and-design,0.55,Minneapolis,MN,0.63,639,3154,32786,1130,22,1000,1000,40000,mcad.edu
"El Camino College",el-camino-college,,Torrance,CA,0.37,,3170,32812,,,15000,15000,1000,elcamino.edu
"Henderson State University",henderson-state-university,0.75,Arkadelphia,AR,0.34,841,2339,32838,1044,21,3000,3000,9000,hsu.edu
"Burlington College",burlington-college,,,,,,3904,32864,,,,,,
"Southwest Minnesota State University",southwest-minnesota-state-university,0.81,Marshall,MN,0.48,1240,3593,32890,997,21,3000,3000,9000,smsu.edu
"Musicians Institute",musicians-institute,0.68,Hollywood,CA,0.5,1161,4207,32916,,,1000,1000,25000,mi.edu
"Yeshiva Rabbi Chaim Berlin",yeshiva-rabbi-chaim-berlin,0.98,Brooklyn,NY,0.32,,2629,32942,,,1000,0,12000,
"Multnomah University",multnomah-university,0.59,Portland,OR,0.5,265,3692,32968,,,1000,0,27000,multnomah.edu
"University of North Carolina at Pembroke",university-of-north-carolina-at-pembroke,0.91,Pembroke,NC,0.42,909,2794,32994,1005,19,6000,6000,3000,uncp.edu
"University of Arkansas at Pine Bluff",university-of-arkansas-at-pine-bluff,0.6,"Pine Bluff",AR,0.39,1093,2861,33020,970,18,2000,2000,8000,uapb.edu
"College of Southern Nevada",college-of-southern-nevada,,"Las Vegas",NV,0.15,,4154,33046,,,21000,21000,4000,csn.edu
"General Theological Seminary",general-theological-seminary,,"New York",NY,,,2149,33072,,,1000,,,gts.edu
"American International College",american-international-college,0.69,Springfield,MA,0.44,742,2549,33098,,,3000,1000,37000,aic.edu
"Mallinckrodt Institute of Radiology",mallinckrodt-institute-of-radiology,,,,,,4604,33124,,,,,,
"Gemological Institute of America",gemological-institute-of-america,,Carlsbad,CA,0.86,,3084,33150,,,1000,0,,gia.edu
"Clayton College of Natural Health",clayton-college-of-natural-health,,,,,,4610,33176,,,,,,
"Episcopal Divinity School",episcopal-divinity-school,,,,,,2725,33202,,,,,,
"University of New Hampshire School of Law",university-of-new-hampshire-school-of-law,,Concord,NH,,,3920,33228,,,1000,,,unh.edu
"Midwestern State University",midwestern-state-university,0.71,"Wichita Falls",TX,0.44,899,3733,33254,1025,19,5000,5000,9000,mwsu.edu
"Marxe School of Public and International Affairs",marxe-school-of-public-and-international-affairs,,,,,,3758,33280,,,,,,
"Point University",point-university,0.35,"West Point",GA,0.33,169,3701,33306,995,18,2000,2000,21000,point.edu
"California Coast University",california-coast-university,,,,,,3759,33332,,,,,,calcoast.edu
"University of the Rockies",university-of-the-rockies,,,,,,5439,33358,,,,,,
"University of Wisconsin–La Crosse","university-of-wisconsin–la-crosse",0.75,"La Crosse",WI,0.71,1128,3267,33384,,,10000,9000,9000,uwlax.edu
"The Institute of World Politics",the-institute-of-world-politics,,Washington,DC,,,4100,33410,,,1000,,,iwp.edu
"Fayetteville State University",fayetteville-state-university,0.79,Fayetteville,NC,0.36,823,3250,33436,940,19,6000,5000,5000,uncfsu.edu
"Georgia Military College",georgia-military-college,,,,,,2962,33462,,,,,,gmc.cc.ga.us
"San Joaquin Valley College",san-joaquin-valley-college,,,,,,4317,33488,,,,,,
"Weatherford College",weatherford-college,,Weatherford,TX,0.2,,3436,33514,,,5000,5000,4000,wc.edu
"Pontifical College Josephinum",pontifical-college-josephinum,0.75,Columbus,OH,0.58,,2499,33540,,,1000,0,26000,pcj.edu
"Dickinson State University",dickinson-state-university,0.99,Dickinson,ND,0.36,1466,4066,33566,1070,20,1000,1000,8000,dickinsonstate.edu
"Rockford University",rockford-university,0.51,Rockford,IL,0.46,259,825,33592,1050,21,1000,1000,32000,rockford.edu
"University of Wisconsin–Parkside","university-of-wisconsin–parkside",0.66,Kenosha,WI,0.39,959,3866,33618,,,4000,4000,7000,uwp.edu
"Rosemont College",rosemont-college,0.69,Rosemont,PA,0.48,492,3434,33644,1055,19,1000,1000,21000,rosemont.edu
"College for Creative Studies",college-for-creative-studies,0.55,Detroit,MI,0.55,224,3183,33670,,,1000,1000,46000,collegeforcreativestudies.edu
"Ripon College",ripon-college,0.74,Ripon,WI,0.67,314,2509,33696,1105,22,1000,1000,45000,ripon.edu
"Andover Newton Theological School",andover-newton-theological-school,,Lexington,MA,,,1919,33722,,,,,,
"Trine University",trine-university,0.79,Angola,IN,0.61,440,2526,33748,1150,24,3000,3000,33000,trine.edu
"Brigham Young University–Idaho","brigham-young-university–idaho",0.97,Rexburg,ID,0.56,1000,3361,33774,1095,22,44000,44000,4000,byui.edu
"Geneva College",geneva-college,0.73,"Beaver Falls",PA,0.72,1049,2317,33800,1130,24,1000,1000,28000,geneva.edu
"Diablo Valley College",diablo-valley-college,,"Pleasant Hill",CA,0.48,,3944,35127,,,13000,13000,1000,dvc.edu
"Kansas Wesleyan University",kansas-wesleyan-university,0.62,Salina,KS,0.47,1153,3633,35154,1041,21,1000,1000,30000,kwu.edu
"Catholic Theological Union",catholic-theological-union,,Chicago,IL,,,2704,35181,,,1000,,,ctu.edu
"University of Michigan–Flint","university-of-michigan–flint",0.77,Flint,MI,0.38,584,4117,35208,1095,23,5000,5000,12000,umflint.edu
"University of Montevallo",university-of-montevallo,0.61,Montevallo,AL,0.54,1372,2719,35235,1135,22,2000,2000,14000,montevallo.edu
"Los Angeles Community College District",los-angeles-community-college-district,,,,,,4139,35262,,,,,,laccd.edu
"Cleveland Institute of Music",cleveland-institute-of-music,0.34,Cleveland,OH,0.71,164,3382,35289,,,1000,0,45000,cim.edu
"Black Hills State University",black-hills-state-university,0.97,Spearfish,SD,0.39,847,3493,35316,1070,21,3000,3000,9000,bhsu.edu
"Coppin State University",coppin-state-university,0.4,Baltimore,MD,0.3,1199,3465,35343,895,18,2000,2000,9000,coppin.edu
"Tarleton State University",tarleton-state-university,0.58,Stephenville,TX,0.46,762,2997,35370,1045,20,11000,10000,8000,tarleton.edu
"Langston University",langston-university,,Langston,OK,0.18,,1980,35397,,,2000,2000,6000,langston.edu
"Kingsborough Community College",kingsborough-community-college,,Brooklyn,NY,0.35,,3325,35424,,,9000,9000,5000,cuny.edu
"Husson University",husson-university,,,,,,3924,35451,,,,,,
"Francis Marion University",francis-marion-university,0.75,Florence,SC,0.44,1269,3387,35478,1005,18,3000,2000,11000,fmarion.edu
"Palm Beach Atlantic University",palm-beach-atlantic-university,0.92,"West Palm Beach",FL,0.57,941,3807,35505,1090,23,3000,2000,33000,pba.edu
"Shenandoah University",shenandoah-university,0.74,Winchester,VA,0.61,858,3888,35532,1100,22,3000,2000,33000,su.edu
"Brooks Institute",brooks-institute,,,,,,4510,35559,,,,,,
"Campbellsville University",campbellsville-university,0.78,Campbellsville,KY,0.36,459,3998,35586,,,9000,3000,25000,campbellsville.edu
"Texas College",texas-college,,Tyler,TX,0.14,,2698,35613,,,1000,1000,10000,texascollege.edu
"Concordia University Wisconsin",concordia-university-wisconsin,0.71,Mequon,WI,0.61,1123,3573,35640,,,5000,3000,30000,cuw.edu
"Neumann University",neumann-university,0.8,Aston,PA,0.51,325,4535,35667,1005,18,2000,2000,33000,neumann.edu
"Western State College of Law",western-state-college-of-law,,,,,,5081,35694,,,,,,
"MacMurray College",macmurray-college,0.62,Jacksonville,IL,0.42,999,3466,35721,1015,19,1000,1000,29000,mac.edu
"Bethany College",bethany-college,0.92,Bethany,WV,0.43,329,2301,2740,1005,19,1000,1000,31000,bethanywv.edu
"Holy Family University",holy-family-university,0.78,Philadelphia,PA,0.57,1361,4244,35775,1020,20,3000,2000,31000,holyfamily.edu
"Bay State College",bay-state-college,0.34,Boston,MA,0.18,1141,3568,35802,,,1000,1000,24000,baystate.edu
"Pacifica Graduate Institute",pacifica-graduate-institute,,Carpinteria,CA,,,3471,35829,,,1000,,,
"Starr King School for the Ministry",starr-king-school-for-the-ministry,,Berkeley,CA,,,3301,35856,,,1000,,,sksm.edu
"Antioch University Midwest",antioch-university-midwest,,"Yellow Springs",OH,,,3158,35883,,,1000,0,20000,antioch.edu
"Bryant & Stratton College",bryant-&-stratton-college,,Buffalo,NY,0.19,,3769,35910,,,1000,1000,17000,bryantstratton.edu
"Washington University",washington-university,,,,,,4003,35937,,,,,,
"Anaheim University",anaheim-university,,,,,,4938,35964,,,,,,
"Bloomsburg University of Pennsylvania",bloomsburg-university-of-pennsylvania,0.89,Bloomsburg,PA,0.58,574,3646,35991,1050,20,8000,8000,11000,bloomu.edu
"Southwestern Oklahoma State University",southwestern-oklahoma-state-university,0.93,Weatherford,OK,0.4,968,3162,36045,,,4000,4000,8000,swosu.edu
"The Culinary Institute of America",the-culinary-institute-of-america,0.97,"Hyde Park",NY,0.7,520,4362,36072,,,3000,3000,34000,ciachef.edu
"Santa Fe University of Art and Design",santa-fe-university-of-art-and-design,,,,,,2995,36099,,,,,,
"Vatterott College",vatterott-college,,,,,,4272,36126,,,,,,
"Colorado Christian University",colorado-christian-university,,Lakewood,CO,0.61,,4062,36153,,,6000,5000,24000,ccu.edu
"Augusta State University",augusta-state-university,,,,,,4151,36180,,,,,,
"Criswell College",criswell-college,,,,,,3215,36207,,,,,,
"Marian University",marian-university,0.64,Indianapolis,IN,0.6,,4114,2535,1075,21,3000,3000,35000,marian.edu
"Randolph College",randolph-college,0.9,Lynchburg,VA,0.56,766,2804,36261,1075,22,1000,1000,41000,randolphcollege.edu
"University of Alaska Southeast",university-of-alaska-southeast,0.64,Juneau,AK,0.18,149,3106,36288,,,1000,1000,8000,alaska.edu
"Samuel Merritt University",samuel-merritt-university,,Oakland,CA,,,2940,36315,,,2000,1000,50000,samuelmerritt.edu
"Georgia College & State University",georgia-college-&-state-university,0.86,Milledgeville,GA,0.62,1195,2066,36342,1185,25,7000,6000,10000,gcsu.edu
"Saint Xavier University",saint-xavier-university,0.79,Chicago,IL,0.56,937,3997,36369,1050,21,3000,3000,34000,sxu.edu
"Rutgers University–Camden","rutgers-university–camden",0.76,Camden,NJ,0.65,654,3969,36396,1075,20,6000,5000,15000,rutgers.edu
"Spoon River College",spoon-river-college,,Canton,IL,0.38,,4210,36423,,,1000,1000,11000,src.edu
"Walsh University",walsh-university,0.77,"North Canton",OH,0.6,1225,3650,36450,1082,22,2000,2000,31000,walsh.edu
"University of Minnesota Rochester",university-of-minnesota-rochester,0.74,Rochester,MN,0.54,1346,4133,37828,1142,24,1000,1000,13000,umn.edu
"Hellenic American University",hellenic-american-university,,,,,,5177,37856,,,,,,
"Davenport University",davenport-university,0.93,"Grand Rapids",MI,0.52,670,4440,37884,,,5000,4000,19000,davenport.edu
"Missouri Western State University",missouri-western-state-university,,"Saint Joseph",MO,0.36,,4412,37912,,,4000,4000,7000,missouriwestern.edu
"University of Maryland Eastern Shore",university-of-maryland-eastern-shore,0.62,"Princess Anne",MD,0.41,1214,3002,37940,940,17,3000,2000,9000,umes.edu
"Upper Iowa University",upper-iowa-university,0.65,Fayette,IA,0.27,319,1917,37968,1070,21,4000,4000,32000,uiu.edu
"SUNY Polytechnic Institute",suny-polytechnic-institute,0.73,Utica,NY,0.54,856,4219,37996,1180,24,2000,2000,9000,sunypoly.edu
"Spertus Institute for Jewish Learning and Leadership",spertus-institute-for-jewish-learning-and-leadership,,Chicago,IL,,,4360,38024,,,1000,,,spertus.edu
"University of Findlay",university-of-findlay,0.8,Findlay,OH,0.63,729,3287,38052,1151,23,4000,3000,35000,findlay.edu
"Trevecca Nazarene University",trevecca-nazarene-university,0.63,Nashville,TN,0.56,1267,3512,38080,1179,23,3000,2000,26000,trevecca.edu
"Spalding University",spalding-university,0.93,Louisville,KY,0.58,1236,3171,38108,1040,19,2000,1000,25000,spalding.edu
"Urbana University",urbana-university,,Urbana,OH,,395,4019,38136,,,,,,urbana.edu
"Sul Ross State University",sul-ross-state-university,0.81,Alpine,TX,0.3,609,2691,38164,,,2000,2000,9000,sulross.edu
"University of Tennessee College of Law",university-of-tennessee-college-of-law,,,,,,3500,38192,,,,,,
